timestamp,trip_id,lorry_id,driver_id,fuel,class,corridor,segment_id,from_lat,from_lng,to_lat,to_lng,distance_km,avg_speed_kmh,congestion_index,load_ratio,idle_seconds,hour,day_of_week,co_g,co2_g,nox_g,ch4_g,fuel_l
2026-04-01T06:51:00,1,LRQ-0001,DRV-532,electric,Electric rigid (BEV),East Coast (KL-Kuantan),East Coast (KL-Kuantan) :: Kuala Lumpur->Kuantan Port,3.139,101.6869,3.9639,103.4292,214.01,49.8,0.229,0.41,252.8,6,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T07:07:00,2,LRQ-0002,DRV-448,electric,Electric rigid (BEV),North-South Expressway (KL-Penang),North-South Expressway (KL-Penang) :: Kuala Lumpur->Ipoh,3.139,101.6869,4.5975,101.0901,175.17,65.7,0.41,1.0,97.4,7,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T09:48:35.576074,2,LRQ-0002,DRV-448,electric,Electric rigid (BEV),North-South Expressway (KL-Penang),North-South Expressway (KL-Penang) :: Ipoh->Penang (Butterworth),4.5975,101.0901,5.3991,100.3639,120.07,65.1,0.426,1.0,212.0,9,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T18:50:00,3,LRQ-0002,DRV-448,electric,Electric rigid (BEV),East Coast (KL-Kuantan),East Coast (KL-Kuantan) :: Kuala Lumpur->Kuantan Port,3.139,101.6869,3.9639,103.4292,214.01,42.1,0.474,0.72,285.8,18,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T12:24:00,4,LRQ-0002,DRV-448,electric,Electric rigid (BEV),East Coast (KL-Kuantan),East Coast (KL-Kuantan) :: Kuala Lumpur->Kuantan Port,3.139,101.6869,3.9639,103.4292,214.01,53.0,0.15,0.84,201.3,12,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T14:27:00,5,LRQ-0003,DRV-982,biodiesel-b20,Rigid 3-axle (B20 biodiesel),KLIA Air-Freight Link,KLIA Air-Freight Link :: Kuala Lumpur->KLIA / Sepang,3.139,101.6869,2.7456,101.7072,43.8,50.4,0.214,0.9,434.3,14,2,239.131,69572.6,856.6775,3.98552,32.4499
2026-04-01T06:47:00,6,LRQ-0003,DRV-982,biodiesel-b20,Rigid 3-axle (B20 biodiesel),North-South Expressway (KL-Penang),North-South Expressway (KL-Penang) :: Kuala Lumpur->Ipoh,3.139,101.6869,4.5975,101.0901,175.17,73.0,0.259,0.73,176.2,6,2,548.254,162630.51,2002.5398,9.13756,75.8538
2026-04-01T09:13:51.178774,6,LRQ-0003,DRV-982,biodiesel-b20,Rigid 3-axle (B20 biodiesel),North-South Expressway (KL-Penang),North-South Expressway (KL-Penang) :: Ipoh->Penang (Butterworth),4.5975,101.0901,5.3991,100.3639,120.07,65.1,0.426,0.73,164.1,9,2,409.918,121480.36,1495.8403,6.83197,56.6606
2026-04-01T11:05:00,7,LRQ-0004,DRV-786,diesel,Rigid 2-axle (Euro 5),North-South Expressway (KL-JB),North-South Expressway (KL-JB) :: Kuala Lumpur->Seremban,3.139,101.6869,2.7297,101.9381,53.38,76.7,0.195,0.49,199.7,11,2,127.134,37163.58,457.6113,2.11889,16.3141
2026-04-01T11:50:05.507888,7,LRQ-0004,DRV-786,diesel,Rigid 2-axle (Euro 5),North-South Expressway (KL-JB),North-South Expressway (KL-JB) :: Seremban->Johor Bahru,2.7297,101.9381,1.4927,103.7414,243.04,75.9,0.209,0.49,306.5,11,2,568.846,168324.47,2072.6521,9.48077,73.8913
2026-04-01T10:10:00,8,LRQ-0005,DRV-510,electric,Electric rigid (BEV),North-South Expressway (KL-JB),North-South Expressway (KL-JB) :: Kuala Lumpur->Seremban,3.139,101.6869,2.7297,101.9381,53.38,69.5,0.326,0.69,251.7,10,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T11:00:16.200192,8,LRQ-0005,DRV-510,electric,Electric rigid (BEV),North-South Expressway (KL-JB),North-South Expressway (KL-JB) :: Seremban->Johor Bahru,2.7297,101.9381,1.4927,103.7414,243.04,75.9,0.209,0.69,69.9,11,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T19:30:00,9,LRQ-0006,DRV-324,diesel,Prime mover + trailer (Euro 5),KLIA Air-Freight Link,KLIA Air-Freight Link :: Kuala Lumpur->KLIA / Sepang,3.139,101.6869,2.7456,101.7072,43.8,38.9,0.637,0.78,447.1,19,2,583.359,171890.45,2116.5616,9.72266,71.2647
2026-04-01T12:18:00,10,LRQ-0007,DRV-798,biodiesel-b20,Rigid 3-axle (B20 biodiesel),Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,3.0,101.39,3.0733,101.5185,16.43,48.1,0.274,0.5,276.9,12,2,87.18,25051.2,308.4662,1.453,11.6843
2026-04-01T12:43:05.743026,10,LRQ-0007,DRV-798,biodiesel-b20,Rigid 3-axle (B20 biodiesel),Port Klang - KL Distribution,Port Klang - KL Distribution :: Shah Alam->Petaling Jaya,3.0733,101.5185,3.1073,101.6067,10.5,47.4,0.295,0.5,119.6,12,2,56.431,16411.26,202.079,0.94052,7.6545
2026-04-01T12:58:22.960634,10,LRQ-0007,DRV-798,biodiesel-b20,Rigid 3-axle (B20 biodiesel),Port Klang - KL Distribution,Port Klang - KL Distribution :: Petaling Jaya->Kuala Lumpur,3.1073,101.6067,3.139,101.6869,9.58,48.3,0.27,0.5,246.0,12,2,52.007,14678.9,180.7476,0.86678,6.8465
2026-04-01T07:59:00,11,LRQ-0007,DRV-798,biodiesel-b20,Rigid 3-axle (B20 biodiesel),KLIA Air-Freight Link,KLIA Air-Freight Link :: Kuala Lumpur->KLIA / Sepang,3.139,101.6869,2.7456,101.7072,43.8,39.7,0.587,0.78,438.9,7,2,373.606,109662.46,1350.3213,6.22676,51.1485
2026-04-01T11:34:00,12,LRQ-0008,DRV-482,electric,Electric rigid (BEV),East Coast (KL-Kuantan),East Coast (KL-Kuantan) :: Kuala Lumpur->Kuantan Port,3.139,101.6869,3.9639,103.4292,214.01,52.5,0.162,0.6,262.2,11,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T09:52:00,13,LRQ-0008,DRV-482,electric,Electric rigid (BEV),North-South Expressway (KL-JB),North-South Expressway (KL-JB) :: Kuala Lumpur->Seremban,3.139,101.6869,2.7297,101.9381,53.38,63.5,0.465,0.94,305.6,9,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T10:47:31.210295,13,LRQ-0008,DRV-482,electric,Electric rigid (BEV),North-South Expressway (KL-JB),North-South Expressway (KL-JB) :: Seremban->Johor Bahru,2.7297,101.9381,1.4927,103.7414,243.04,71.8,0.281,0.94,177.8,10,2,0.0,0.0,0.0,0.0,0.0
2026-04-01T06:19:00,14,LRQ-0009,DRV-775,diesel,Rigid 3-axle (Euro 4),Port Klang - KL Distribution,Port Klang - KL Distribution :: Port Klang->Shah Alam,3.0,101.39,3.0733,101.5185,16.43,41.2,0.514,0.42,437.4,6,2,145.751,41659.15,512.9671,2.42919,15.5445
2026-04-01T06:50:13.267837,14,LRQ-0009,DRV-775,diesel,Rigid 3-axle (Euro 4),Port Klang - KL Distribution,Port Klang - KL Distribution :: Shah Alam->Petaling Jaya,3.0733,101.5185,3.1073,101.6067,10.5,40.9,0.529,0.42,234.6,6,2,93.723,26974.4,332.1474,1.56206,10.0651
2026-04-01T07:09:32.471982,14,LRQ-0009,DRV-775,diesel,Rigid 3-axle (Euro 4),Port Klang - KL Distribution,Port Klang - KL Distribution :: Petaling Jaya->Kuala Lumpur,3.1073,101.6067,3.139,101.6869,9.58,37.2,0.793,0.42,432.1,7,2,108.806,30678.9,377.7626,1.81343,11.4474
2026-04-01T14:29:00,15,LRQ-0010,DRV-330,electric,Electric rigid (BEV),East Coast (KL-Kuantan),East Coast (KL-Kuantan) :: Kuala Lumpur->Kuantan Port,3.139,101.6869,3.9639,103.4292,214.01,53.0,0.15,0.61,0.0,14,2,0.0,0.0,0.0,0.0,0.0
