trip_id,lorry_id,driver_id,class,fuel,corridor,depart,arrive,year,month,day,hour,distance_km,travel_minutes,avg_speed_kmh,idle_seconds,load_ratio,co_g,co2_g,nox_g,ch4_g,fuel_l,co2_baseline_g,fuel_baseline_l,idle_baseline_seconds,co2_saved_g,fuel_saved_l
1,LRQ-0001,DRV-532,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T06:51:00,2026-04-01T11:13:04.357999,2026,4,1,6,214.01,262.1,49.0,252.8,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.2,0.0,0.0
2,LRQ-0002,DRV-448,Electric rigid (BEV),electric,North-South Expressway (KL-Penang),2026-04-01T07:07:00,2026-04-01T11:42:51.085382,2026,4,1,7,295.24,275.9,64.2,309.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.6,0.0,0.0
3,LRQ-0002,DRV-448,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T18:50:00,2026-04-01T23:59:31.803163,2026,4,1,18,214.01,309.5,41.5,285.8,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.5,0.0,0.0
4,LRQ-0002,DRV-448,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T12:24:00,2026-04-01T16:29:43.581509,2026,4,1,12,214.01,245.7,52.3,201.3,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.4,0.0,0.0
5,LRQ-0003,DRV-982,Rigid 3-axle (B20 biodiesel),biodiesel-b20,KLIA Air-Freight Link,2026-04-01T14:27:00,2026-04-01T15:26:24.092433,2026,4,1,14,43.8,59.4,44.2,434.3,0.9,239.13,69572.6,856.68,3.986,32.45,73192.2,34.14,492.1,3619.6,1.69
6,LRQ-0003,DRV-982,Rigid 3-axle (B20 biodiesel),biodiesel-b20,North-South Expressway (KL-Penang),2026-04-01T06:47:00,2026-04-01T11:07:18.810024,2026,4,1,6,295.24,260.3,68.0,340.3,0.73,958.17,284110.9,3498.38,15.97,132.51,308668.5,143.97,419.6,24557.7,11.45
7,LRQ-0004,DRV-786,Rigid 2-axle (Euro 5),diesel,North-South Expressway (KL-JB),2026-04-01T11:05:00,2026-04-01T15:07:23.964358,2026,4,1,11,296.43,242.4,73.4,506.2,0.49,695.98,205488.1,2530.26,11.6,90.21,206819.8,90.79,569.9,1331.8,0.58
8,LRQ-0005,DRV-510,Electric rigid (BEV),electric,North-South Expressway (KL-JB),2026-04-01T10:10:00,2026-04-01T14:13:38.008658,2026,4,1,10,296.43,243.6,73.0,321.5,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.7,0.0,0.0
9,LRQ-0006,DRV-324,Prime mover + trailer (Euro 5),diesel,KLIA Air-Freight Link,2026-04-01T19:30:00,2026-04-01T20:45:00.759691,2026,4,1,19,43.8,75.0,35.0,447.1,0.78,583.36,171890.5,2116.56,9.723,71.26,356649.2,147.86,688.0,184758.7,76.6
10,LRQ-0007,DRV-798,Rigid 3-axle (B20 biodiesel),biodiesel-b20,Port Klang - KL Distribution,2026-04-01T12:18:00,2026-04-01T13:14:23.237586,2026,4,1,12,36.51,56.4,38.8,642.5,0.5,195.62,56141.4,691.29,3.26,26.19,61897.1,28.87,757.7,5755.8,2.68
11,LRQ-0007,DRV-798,Rigid 3-axle (B20 biodiesel),biodiesel-b20,KLIA Air-Freight Link,2026-04-01T07:59:00,2026-04-01T09:12:28.838658,2026,4,1,7,43.8,73.5,35.8,438.9,0.78,373.61,109662.5,1350.32,6.227,51.15,200157.9,93.36,648.4,90495.5,42.21
12,LRQ-0008,DRV-482,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T11:34:00,2026-04-01T15:43:08.971180,2026,4,1,11,214.01,249.1,51.5,262.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0
13,LRQ-0008,DRV-482,Electric rigid (BEV),electric,North-South Expressway (KL-JB),2026-04-01T09:52:00,2026-04-01T14:13:34.540244,2026,4,1,9,296.43,261.6,68.0,483.4,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.1,0.0,0.0
14,LRQ-0009,DRV-775,Rigid 3-axle (Euro 4),diesel,Port Klang - KL Distribution,2026-04-01T06:19:00,2026-04-01T07:32:11.455153,2026,4,1,6,36.51,73.2,29.9,1104.1,0.42,348.28,99312.4,1222.88,5.805,37.06,209570.6,78.2,1706.9,110258.1,41.14
15,LRQ-0010,DRV-330,Electric rigid (BEV),electric,East Coast (KL-Kuantan),2026-04-01T14:29:00,2026-04-01T18:31:19.946821,2026,4,1,14,214.01,242.3,53.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
